;year	step	area	lgr	number
1985	1	allareas	len19-20	8749
1985	1	allareas	len21-22	8539
1985	1	allareas	len23-24	10589
1985	1	allareas	len25-26	22515
1985	1	allareas	len27-28	34386
1985	1	allareas	len29-30	42375
1985	1	allareas	len31-32	50369
1985	1	allareas	len33-34	60805
1985	1	allareas	len35-36	74600
1985	1	allareas	len37-38	81547
1985	1	allareas	len39-40	62125
1985	1	allareas	len41-42	37163
1985	1	allareas	len43-44	19811
1985	1	allareas	len45-46	11999
1985	1	allareas	len47-48	6160
1985	1	allareas	len49-50	3109
1985	1	allareas	len51-52	1466
1985	1	allareas	len53-54	960
1986	1	allareas	len19-20	20146
1986	1	allareas	len21-22	20323
1986	1	allareas	len23-24	17905
1986	1	allareas	len25-26	19992
1986	1	allareas	len27-28	32650
1986	1	allareas	len29-30	48871
1986	1	allareas	len31-32	64240
1986	1	allareas	len33-34	65711
1986	1	allareas	len35-36	74942
1986	1	allareas	len37-38	84226
1986	1	allareas	len39-40	65652
1986	1	allareas	len41-42	41388
1986	1	allareas	len43-44	24191
1986	1	allareas	len45-46	13594
1986	1	allareas	len47-48	8207
1986	1	allareas	len49-50	4417
1986	1	allareas	len51-52	2518
1986	1	allareas	len53-54	1319
1987	1	allareas	len19-20	11479
1987	1	allareas	len21-22	15988
1987	1	allareas	len23-24	19594
1987	1	allareas	len25-26	29286
1987	1	allareas	len27-28	30453
1987	1	allareas	len29-30	38646
1987	1	allareas	len31-32	52852
1987	1	allareas	len33-34	63531
1987	1	allareas	len35-36	77323
1987	1	allareas	len37-38	83049
1987	1	allareas	len39-40	68060
1987	1	allareas	len41-42	44382
1987	1	allareas	len43-44	24750
1987	1	allareas	len45-46	16214
1987	1	allareas	len47-48	8890
1987	1	allareas	len49-50	5065
1987	1	allareas	len51-52	3123
1987	1	allareas	len53-54	1450
1988	1	allareas	len19-20	6947
1988	1	allareas	len21-22	13542
1988	1	allareas	len23-24	21858
1988	1	allareas	len25-26	33159
1988	1	allareas	len27-28	62193
1988	1	allareas	len29-30	72124
1988	1	allareas	len31-32	60389
1988	1	allareas	len33-34	60750
1988	1	allareas	len35-36	67621
1988	1	allareas	len37-38	60837
1988	1	allareas	len39-40	47890
1988	1	allareas	len41-42	30066
1988	1	allareas	len43-44	19207
1988	1	allareas	len45-46	10576
1988	1	allareas	len47-48	8342
1988	1	allareas	len49-50	5733
1988	1	allareas	len51-52	2993
1988	1	allareas	len53-54	1507
1989	1	allareas	len19-20	3585
1989	1	allareas	len21-22	5036
1989	1	allareas	len23-24	10716
1989	1	allareas	len25-26	19899
1989	1	allareas	len27-28	40020
1989	1	allareas	len29-30	58506
1989	1	allareas	len31-32	62852
1989	1	allareas	len33-34	56189
1989	1	allareas	len35-36	57960
1989	1	allareas	len37-38	62396
1989	1	allareas	len39-40	49914
1989	1	allareas	len41-42	36626
1989	1	allareas	len43-44	22419
1989	1	allareas	len45-46	13388
1989	1	allareas	len47-48	7695
1989	1	allareas	len49-50	5320
1989	1	allareas	len51-52	3406
1989	1	allareas	len53-54	1781
1990	1	allareas	len19-20	10725
1990	1	allareas	len21-22	10924
1990	1	allareas	len23-24	9019
1990	1	allareas	len25-26	16701
1990	1	allareas	len27-28	38350
1990	1	allareas	len29-30	68949
1990	1	allareas	len31-32	76193
1990	1	allareas	len33-34	60280
1990	1	allareas	len35-36	41554
1990	1	allareas	len37-38	42442
1990	1	allareas	len39-40	41661
1990	1	allareas	len41-42	28155
1990	1	allareas	len43-44	17783
1990	1	allareas	len45-46	9685
1990	1	allareas	len47-48	4931
1990	1	allareas	len49-50	2687
1990	1	allareas	len51-52	1644
1990	1	allareas	len53-54	725
1991	1	allareas	len19-20	18615
1991	1	allareas	len21-22	42022
1991	1	allareas	len23-24	52629
1991	1	allareas	len25-26	35805
1991	1	allareas	len27-28	33681
1991	1	allareas	len29-30	42455
1991	1	allareas	len31-32	49238
1991	1	allareas	len33-34	51803
1991	1	allareas	len35-36	49497
1991	1	allareas	len37-38	41387
1991	1	allareas	len39-40	36154
1991	1	allareas	len41-42	25188
1991	1	allareas	len43-44	12547
1991	1	allareas	len45-46	6297
1991	1	allareas	len47-48	3640
1991	1	allareas	len49-50	2076
1991	1	allareas	len51-52	2087
1991	1	allareas	len53-54	1586
1992	1	allareas	len19-20	13589
1992	1	allareas	len21-22	16795
1992	1	allareas	len23-24	20971
1992	1	allareas	len25-26	24844
1992	1	allareas	len27-28	23657
1992	1	allareas	len29-30	22414
1992	1	allareas	len31-32	28477
1992	1	allareas	len33-34	32923
1992	1	allareas	len35-36	37590
1992	1	allareas	len37-38	39491
1992	1	allareas	len39-40	29253
1992	1	allareas	len41-42	19106
1992	1	allareas	len43-44	9930
1992	1	allareas	len45-46	5038
1992	1	allareas	len47-48	3194
1992	1	allareas	len49-50	2110
1992	1	allareas	len51-52	1566
1992	1	allareas	len53-54	820
1993	1	allareas	len19-20	10806
1993	1	allareas	len21-22	14807
1993	1	allareas	len23-24	23196
1993	1	allareas	len25-26	42184
1993	1	allareas	len27-28	76723
1993	1	allareas	len29-30	75090
1993	1	allareas	len31-32	39633
1993	1	allareas	len33-34	33835
1993	1	allareas	len35-36	35038
1993	1	allareas	len37-38	32669
1993	1	allareas	len39-40	27316
1993	1	allareas	len41-42	14254
1993	1	allareas	len43-44	7861
1993	1	allareas	len45-46	3757
1993	1	allareas	len47-48	2358
1993	1	allareas	len49-50	1240
1993	1	allareas	len51-52	804
1993	1	allareas	len53-54	197
1994	1	allareas	len19-20	13880
1994	1	allareas	len21-22	15542
1994	1	allareas	len23-24	20491
1994	1	allareas	len25-26	32013
1994	1	allareas	len27-28	47419
1994	1	allareas	len29-30	50039
1994	1	allareas	len31-32	43216
1994	1	allareas	len33-34	35995
1994	1	allareas	len35-36	33920
1994	1	allareas	len37-38	29627
1994	1	allareas	len39-40	23560
1994	1	allareas	len41-42	16146
1994	1	allareas	len43-44	9219
1994	1	allareas	len45-46	4779
1994	1	allareas	len47-48	2326
1994	1	allareas	len49-50	1488
1994	1	allareas	len51-52	896
1994	1	allareas	len53-54	415
1995	1	allareas	len19-20	9144
1995	1	allareas	len21-22	9815
1995	1	allareas	len23-24	11491
1995	1	allareas	len25-26	15543
1995	1	allareas	len27-28	25530
1995	1	allareas	len29-30	38691
1995	1	allareas	len31-32	43419
1995	1	allareas	len33-34	39997
1995	1	allareas	len35-36	36225
1995	1	allareas	len37-38	24940
1995	1	allareas	len39-40	19858
1995	1	allareas	len41-42	11150
1995	1	allareas	len43-44	6806
1995	1	allareas	len45-46	3516
1995	1	allareas	len47-48	1824
1995	1	allareas	len49-50	974
1995	1	allareas	len51-52	359
1995	1	allareas	len53-54	123
1996	1	allareas	len19-20	12759
1996	1	allareas	len21-22	16472
1996	1	allareas	len23-24	17009
1996	1	allareas	len25-26	20661
1996	1	allareas	len27-28	28305
1996	1	allareas	len29-30	37665
1996	1	allareas	len31-32	53066
1996	1	allareas	len33-34	60429
1996	1	allareas	len35-36	49090
1996	1	allareas	len37-38	36965
1996	1	allareas	len39-40	26026
1996	1	allareas	len41-42	17547
1996	1	allareas	len43-44	9342
1996	1	allareas	len45-46	5430
1996	1	allareas	len47-48	1993
1996	1	allareas	len49-50	748
1996	1	allareas	len51-52	780
1996	1	allareas	len53-54	339
1997	1	allareas	len19-20	7679
1997	1	allareas	len21-22	13151
1997	1	allareas	len23-24	17341
1997	1	allareas	len25-26	21459
1997	1	allareas	len27-28	38346
1997	1	allareas	len29-30	40254
1997	1	allareas	len31-32	56892
1997	1	allareas	len33-34	70117
1997	1	allareas	len35-36	59365
1997	1	allareas	len37-38	45045
1997	1	allareas	len39-40	28507
1997	1	allareas	len41-42	18175
1997	1	allareas	len43-44	9389
1997	1	allareas	len45-46	3936
1997	1	allareas	len47-48	1159
1997	1	allareas	len49-50	792
1997	1	allareas	len51-52	331
1997	1	allareas	len53-54	260
1998	1	allareas	len19-20	3906
1998	1	allareas	len21-22	10538
1998	1	allareas	len23-24	29268
1998	1	allareas	len25-26	47317
1998	1	allareas	len27-28	55547
1998	1	allareas	len29-30	38198
1998	1	allareas	len31-32	44101
1998	1	allareas	len33-34	49397
1998	1	allareas	len35-36	54125
1998	1	allareas	len37-38	42925
1998	1	allareas	len39-40	29458
1998	1	allareas	len41-42	18219
1998	1	allareas	len43-44	9169
1998	1	allareas	len45-46	5488
1998	1	allareas	len47-48	1952
1998	1	allareas	len49-50	867
