; fleet data
; year	step	area	fleet	amount
1970	1	1	Faroe	16500
1970	2	1	Faroe	16500
1971	1	1	Faroe	12000
1971	2	1	Faroe	12000
1972	1	1	Faroe	50000
1972	2	1	Faroe	50000
1973	1	1	Faroe	1e+05
1973	2	1	Faroe	1e+05
1974	1	1	Faroe	2e+05
1974	2	1	Faroe	2e+05
1975	1	1	Faroe	450000
1975	2	1	Faroe	450000
1976	1	1	Faroe	50000
1976	2	1	Faroe	50000
1977	1	1	Faroe	4e+05
1977	2	1	Faroe	4e+05
1978	1	1	Faroe	1019500
1978	2	1	Faroe	1019500
1979	1	1	Faroe	2402500
1979	2	1	Faroe	2402500
1980	1	1	Faroe	2460000
1980	2	1	Faroe	2460000
1981	1	1	Faroe	1269000
1981	2	1	Faroe	1269000
1982	1	1	Faroe	905000
1982	2	1	Faroe	905000
1983	1	1	Faroe	1697000
1983	2	1	Faroe	1697000
1984	1	1	Faroe	3114000
1984	2	1	Faroe	3114000
1985	1	1	Faroe	4597000
1985	2	1	Faroe	4597000
1986	1	1	Faroe	3150000
1986	2	1	Faroe	3150000
1987	1	1	Faroe	3071500
1987	2	1	Faroe	3071500
1988	1	1	Faroe	2510000
1988	2	1	Faroe	2510000
1989	1	1	Faroe	2070000
1989	2	1	Faroe	2070000
1990	1	1	Faroe	1203500
1990	2	1	Faroe	1203500
1991	1	1	Faroe	1070000
1991	2	1	Faroe	1070000
1992	1	1	Faroe	1730000
1992	2	1	Faroe	1730000
1993	1	1	Faroe	1310500
1993	2	1	Faroe	1310500
1994	1	1	Faroe	1137000
1994	2	1	Faroe	1137000
1995	1	1	Faroe	1290500
1995	2	1	Faroe	1290500
1996	1	1	Faroe	1158000
1996	2	1	Faroe	1158000
1997	1	1	Faroe	1419500
1997	2	1	Faroe	1419500
1998	1	1	Faroe	1282500
1998	2	1	Faroe	1282500
1999	1	1	Faroe	718000
1999	2	1	Faroe	718000
2000	1	1	Faroe	749000
2000	2	1	Faroe	749000
2001	1	1	Faroe	815500
2001	2	1	Faroe	815500
2002	1	1	Faroe	970500
2002	2	1	Faroe	970500
2003	1	1	Faroe	729500
2003	2	1	Faroe	729500
2004	1	1	Faroe	569500
2004	2	1	Faroe	569500
2005	1	1	Faroe	1242000
2005	2	1	Faroe	1242000
2006	1	1	Faroe	328000
2006	2	1	Faroe	328000
2007	1	1	Faroe	344500
2007	2	1	Faroe	344500
2008	1	1	Faroe	284500
2008	2	1	Faroe	284500
2009	1	1	Faroe	231000
2009	2	1	Faroe	231000
2010	1	1	Faroe	310000
2010	2	1	Faroe	310000
2011	1	1	Faroe	247000
2011	2	1	Faroe	247000
2012	1	1	Faroe	127000 ;guess
2012	2	1	Faroe	127000 ;guess
2013	1	1	Faroe	130000 ;guess
2013	2	1	Faroe	130000 ;guess
2014	1	1	Faroe	130000 ;guess
1970	1	1	Greenland	9081000
1970	2	1	Greenland	9081000
1971	1	1	Greenland	10218000
1971	2	1	Greenland	10218000
1972	1	1	Greenland	6985000
1972	2	1	Greenland	6985000
1973	1	1	Greenland	3949500
1973	2	1	Greenland	3949500
1974	1	1	Greenland	6989000
1974	2	1	Greenland	6989000
1975	1	1	Greenland	10500000
1975	2	1	Greenland	10500000
1976	1	1	Greenland	26950000
1976	2	1	Greenland	26950000
1977	1	1	Greenland	7216500
1977	2	1	Greenland	7216500
1978	1	1	Greenland	7738500
1978	2	1	Greenland	7738500
1979	1	1	Greenland	7893500
1979	2	1	Greenland	7893500
