;
; Fleet catch data in kilos for this haddock model
;
; year  step  area  fleet   amount
1978    1     1     comm    8444000
1978    2     1     comm    14834000
1978    3     1     comm    9985000
1978    4     1     comm    10184000
1979    1     1     comm    10753000
1979    2     1     comm    18893000
1979    3     1     comm    12717000
1979    4     1     comm    12971000
1980    1     1     comm    9933000
1980    2     1     comm    17451000
1980    3     1     comm    11747000
1980    4     1     comm    11981000
1981    1     1     comm    12352000
1981    2     1     comm    21701000
1981    3     1     comm    14608000
1981    4     1     comm    14899000
1982    1     1     comm    13023000
1982    2     1     comm    22880000
1982    3     1     comm    15401000
1982    4     1     comm    15708000
1983    1     1     comm    15853000
1983    2     1     comm    25218000
1983    3     1     comm    14014000
1983    4     1     comm    8729000
1984    1     1     comm    13890000
1984    2     1     comm    16343000
1984    3     1     comm    7957000
1984    4     1     comm    9010000
1985    1     1     comm    10768000
1985    2     1     comm    20703000
1985    3     1     comm    9697000
1985    4     1     comm    8404000
1986    1     1     comm    10975000
1986    2     1     comm    22039000
1986    3     1     comm    7936000
1986    4     1     comm    6384000
1987    1     1     comm    8772000
1987    2     1     comm    14770000
1987    3     1     comm    7020000
1987    4     1     comm    9190000
1988    1     1     comm    13313000
1988    2     1     comm    16910000
1988    3     1     comm    10791000
1988    4     1     comm    11985000
1989    1     1     comm    12891000
1989    2     1     comm    19377000
1989    3     1     comm    14143000
1989    4     1     comm    15305000
1990    1     1     comm    11588000
1990    2     1     comm    25056000
1990    3     1     comm    15592000
1990    4     1     comm    13660000
1991    1     1     comm    9415000
1991    2     1     comm    19387000
1991    3     1     comm    13928000
1991    4     1     comm    11223000
1992    1     1     comm    8988000
1992    2     1     comm    16030000
1992    3     1     comm    9686000
1992    4     1     comm    10824000
1993    1     1     comm    11399000
1993    2     1     comm    16370000
1993    3     1     comm    9189000
1993    4     1     comm    9860000
1994    1     1     comm    15081000
1994    2     1     comm    18531000
1994    3     1     comm    12414000
1994    4     1     comm    12396000
1995    1     1     comm    17428000
1995    2     1     comm    19602000
1995    3     1     comm    10859000
1995    4     1     comm    12478000
1996    1     1     comm    12737000
1996    2     1     comm    16417000
1996    3     1     comm    11858000
1996    4     1     comm    15307000
1997    1     1     comm    10768000
1997    2     1     comm    15508000
1997    3     1     comm    7720000
1997    4     1     comm    9505000
1998    1     1     comm    6852000
1998    2     1     comm    13256000
1998    3     1     comm    8453000
1998    4     1     comm    12228000
1999    1     1     comm    6852000
1978    2     1     survey  30000
1979    2     1     survey  30000
1980    2     1     survey  30000
1981    2     1     survey  30000
1982    2     1     survey  30000
1983    2     1     survey  30000
1984    2     1     survey  30000
1985    2     1     survey  30000
1986    2     1     survey  30000
1987    2     1     survey  30000
1988    2     1     survey  30000
1989    2     1     survey  30000
1990    2     1     survey  30000
1991    2     1     survey  30000
1992    2     1     survey  30000
1993    2     1     survey  30000
1994    2     1     survey  30000
1995    2     1     survey  30000
1996    2     1     survey  30000
1997    2     1     survey  30000
1998    2     1     survey  30000
1999    2     1     survey  30000
2000    2     1     survey  30000
2001    2     1     survey  30000
2002    2     1     survey  30000
2003    2     1     survey  30000
2004    2     1     survey  30000
2005    2     1     survey  30000
2006    2     1     survey  30000
